stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
CSB Bank Ltd.,31.55,26.43,12.59,0.88,-23.73,31.55,26.43,12.59,0.88,-23.73,31.54,28.61,14.93,2.09,-21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.54,26.42,12.59,0.73,-22.96,,,,,,,,,,,,,,,,23.59,22.49,11.66,0.84,-14.65,,,,,,,,,,,1.87,1.8,0.93,0.06,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,
CreditAccess Grameen Ltd.,52.04,24.54,9.52,22.78,23.37,51.81,24.44,9.46,22.59,23.14,55.12,26.2,10.66,24.11,22.96,321.37,252.76,233.63,185.37,164.76,321.37,252.76,233.63,185.37,164.76,0,0,0,0,0,223.09,146.88,130.34,116.92,89.32,149.02,85.14,61.56,72.34,64.25,145.89,83.45,60.06,70.97,63.71,69.56,32.89,12.49,31.31,34.67,51.98,24.52,9.15,22.74,22.41,66.79,57.96,47.23,61.86,71.92,65.39,56.81,46.07,60.7,71.31,31.18,22.39,9.58,26.78,38.81,23.3,16.69,7.02,19.45,25.09,16.17,9.69,3.91,12.27,13.6,44.89,24.31,17.98,30.28,30.68,3.77,2.58,1.12,3.07,4.37,3.19,2.66,2.42,2.93,2.06,0.19,0.17,0.17,15.79,17.42,1.26,1.54,1.66,1.44,1.66,1.26,1.54,1.66,1.44,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,417.70","22,184.88","17,265.61","12,114.02","11,444.31",8.3,9.69,8.51,7.2,8.93,12.42,16.72,18.03,11.63,12.41,4.1,5.78,5.14,2.89,5.61,0,0,0,0,0,2.85,3.36,2.87,1.83,3.04,4.1,5.78,5.14,2.89,5.61,0.06,0.03,0.01,0.07,0.04
CRISIL Ltd.,50.75,66.35,23,36.86,38.6,50.72,66.28,22.98,36.81,38.47,59.97,75.78,32.01,40.15,42.47,146.42,140.95,95.77,104.94,112.2,146.42,140.95,95.77,104.94,112.2,48,46,33,32,30,197.55,165.21,122.42,116.05,163.94,70.5,81.3,40.08,30.59,56.92,61.21,71.74,31.03,27.27,52.95,60.45,76.98,30.07,27.27,52.78,50.69,66.22,22.96,36.83,38.49,35.68,49.2,32.73,26.35,34.72,30.98,43.42,25.34,23.5,32.29,30.59,46.59,24.56,23.5,32.19,25.65,40.07,18.75,31.73,23.47,34.61,46.97,23.97,35.09,34.3,39.38,46.61,28.47,25.35,46.01,22.98,32.21,12.44,23.94,24.53,0,0,0,0,0,0.93,0.85,66.36,75.45,104.48,1.97,2.14,1.3,1.67,1.58,1.97,2.14,1.3,1.67,1.58,0,0,0,0,0,92.61,57.27,139.17,81.38,75.13,78.27,50.05,99.84,74.67,68.09,7.39,42.73,-39.17,18.62,24.87,21.73,49.95,0.16,25.33,31.91,"22,340.93","20,918.48","13,860.46","13,738.17","11,621.63",15.47,17.37,15.59,16.37,9.83,43.35,35.3,47.64,62.12,28.32,15.52,17.47,15.71,16.46,9.88,7.38,42.72,-39.17,18.61,24.86,20.94,20.47,20.08,18.2,14.43,15.52,17.47,15.71,16.46,9.88,0.02,0.02,0.01,0.02,0.02
Craftsman Automation Ltd.,112.53,75.94,48.02,18.21,46.81,112.53,75.94,48.02,18.21,46.81,214.36,173.5,136.92,115.8,125.48,649.33,540.81,463.28,363.67,348.39,649.33,540.81,463.28,363.67,348.39,11.25,3.75,0,3,0.63,"1,411.10","1,044.71",732.14,737.27,899.41,317.86,255.01,211.77,200.92,212.37,216.08,157.48,120.66,103.34,133.7,160.72,117.61,69.87,26.62,68.57,112.58,75.97,45.81,18.22,46.81,22.52,24.4,28.92,27.25,23.61,15.31,15.07,16.48,14.01,14.86,11.39,11.25,9.54,3.6,7.62,7.97,7.27,6.25,2.47,5.2,17.33,14.04,9.88,5,13.43,19.41,19.52,16.15,13.42,18.74,7.14,5.97,4.09,1.57,4.18,0.72,0.63,0.61,1.25,1.18,0.99,0.87,65.47,63.93,80.45,1.15,1.03,0.96,0.79,0.73,0.48,0.4,0.46,0.39,0.35,2.37,2.09,3.89,4.72,5.8,3.33,0,0,16.56,1.28,1.75,0,0,2.6,0.47,96.67,0,0,83.44,98.72,98.25,0,0,97.4,99.53,"7,813.36","5,655.18","3,548.10",0,0,2.62,2.56,2.29,0,0,11.64,10.5,7.93,0,0,2.3,2.26,1.94,0,0,96.66,0,0,83.43,98.71,5,4.36,3.06,0,0,2.3,2.26,1.94,0,0,0.03,0.03,0.03,0,0
Coromandel International Ltd.,69.25,48.14,44.77,36.2,24.41,69.12,48.03,44.65,36.11,24.37,75.37,53.99,50.61,41.52,28.28,267.62,214.58,177.66,149.8,117.4,267.62,214.58,177.66,149.8,117.4,12,12,12,12,6.5,"1,007.13",650.37,482.49,447.69,451.41,105.19,74.24,69.67,60.2,50.39,99.02,68.38,63.79,54.83,46.51,92.59,65.81,60.19,46.8,37.12,69.21,48.12,44.74,36.15,24.41,10.44,11.41,14.43,13.44,11.16,9.83,10.51,13.22,12.24,10.3,9.19,10.11,12.47,10.45,8.22,6.87,7.39,9.27,8.07,5.4,25.86,22.42,25.18,24.13,20.78,34.92,29.7,33.1,33.11,38.11,14.33,12.59,14.66,10.36,6.7,0,0,0,0.37,0.86,2.33,1.89,1.48,128.37,124.01,1.77,1.85,1.96,1.44,1.23,1.01,1.03,1.17,0.94,0.77,4.85,3.81,2.65,4.87,4.08,0,24.92,40.2,11.65,32.09,0,22.22,35.53,10.14,27.7,0,75.08,59.8,88.35,67.91,0,77.78,64.47,89.86,72.3,"24,499.07","21,750.17","22,030.85","17,503.75","17,423.35",0.83,1.14,1.56,1.33,1.32,7.92,9.98,10.78,9.92,11.82,0.87,1.23,1.6,1.21,1.11,0,75.07,59.79,88.34,67.9,3.29,3.72,4.36,3.63,4.25,0.87,1.23,1.6,1.21,1.11,0.08,0.06,0.06,0.07,0.05
Container Corporation of India Ltd.,19.19,17.44,8.26,6.17,19.95,19.19,17.44,8.26,6.17,19.95,28.28,26.13,16.83,14.59,26.92,184.56,176.88,167.47,165.19,170.16,184.56,176.88,167.47,165.19,170.16,11,9,5,3.6,8.55,133,124.64,104.79,106.25,112.95,35.55,32.69,21.64,32.08,34.7,26.46,23.99,13.07,23.66,27.73,25.5,23.09,11.15,8.6,27.72,19.19,17.44,8.26,6.17,19.95,26.73,26.22,20.64,30.19,30.72,19.89,19.24,12.47,22.26,24.55,19.17,18.52,10.63,8.09,24.54,14.42,13.98,7.88,5.8,17.66,10.39,9.85,4.93,3.73,11.72,13.47,12.8,7.3,13.82,15.91,8.8,8.29,4.12,3.24,9.64,0,0,0,0,0.07,0.62,0.61,52.35,55.96,54.58,3.07,2.62,2.46,2.54,2.37,3.04,2.6,2.44,2.51,2.36,0,0,266.71,248.23,296,0,45.88,70.81,150.79,15.03,0,30.61,34.76,63.75,11.14,0,54.12,29.19,-50.79,84.97,0,69.39,65.24,36.25,88.86,"32,340.26","38,081.48","33,917.23","18,026.66","32,497.15",3.99,5.01,5.31,2.78,4.72,14.93,19.12,25.73,9.22,15.37,4.37,5.39,5.7,3.12,4.65,0,54.11,29.18,-50.79,84.96,3.15,3.8,3.57,2.01,3.08,4.37,5.39,5.7,3.12,4.65,0.03,0.03,0.01,0.02,0.04
Gujarat Alkalies and Chemicals Ltd.,78.39,76.53,22.72,45.32,93.91,78.39,76.53,22.72,45.32,93.91,115.98,103.46,46.46,67.36,112.97,859.27,804,732.26,626.04,585.07,859.27,804,732.26,626.04,585.07,23.55,10,8,8,8,614.99,511.82,330.82,371,430.48,157.51,140.6,57.96,90.89,160.12,119.91,113.67,34.21,68.86,141.07,117.26,112.83,32.11,66.94,138.21,78.39,76.52,22.72,45.32,93.91,25.61,27.47,17.51,24.49,37.19,19.49,22.2,10.34,18.55,32.76,19.06,22.04,9.7,18.04,32.1,12.74,14.95,6.86,12.21,21.81,9.12,9.51,3.1,7.23,16.05,11.48,11.51,3.83,9.42,20.62,6.76,7.04,2.33,5.64,12.46,0.09,0.1,0.08,0.03,0.04,0.55,0.5,33.94,46.23,57.14,1.68,1.49,1.78,2.6,3.17,1.13,1.01,1.41,2.15,2.71,3.71,6.97,10.76,11.53,13.66,0,10.45,35.21,17.65,6.92,0,7.73,17.21,11.87,5.75,0,89.55,64.79,82.35,93.08,0,92.27,82.79,88.13,94.25,"4,435.21","6,873.06","2,607.27","1,735.82","3,542.16",0.98,1.83,1.07,0.64,1.12,3.83,6.66,6.13,2.6,3.01,0.96,1.75,1.04,0.6,1.15,0,89.54,64.78,82.34,93.07,0.68,1.11,0.47,0.36,0.84,0.96,1.75,1.04,0.6,1.15,0.13,0.09,0.07,0.2,0.19
Dr Reddys Laboratories Ltd.,157.37,97.85,131.84,177.23,76.98,157.03,97.85,131.46,176.88,76.85,212.24,146.48,181.57,224.24,123.97,"1,228.94","1,101.94","1,020.66",914.07,764.1,"1,228.94","1,101.94","1,020.66",914.07,764.1,40,30,25,25,20,"1,018.16",865.7,802.23,713.02,640.09,288.48,184.86,236.65,217.38,152.9,233.07,135.93,186.47,169.89,105.87,232.05,133.64,183.67,167.02,102.45,156.83,97.55,131.39,176.76,76.95,28.33,21.35,29.49,30.48,23.88,22.89,15.7,23.24,23.82,16.54,22.79,15.43,22.89,23.42,16,15.4,11.26,16.37,24.78,12.02,12.76,8.85,12.87,19.33,10.07,18.54,12.25,18.17,18.46,13.34,10.29,6.62,10.1,15.08,7.86,0,0.12,0.07,0.07,0.07,0.68,0.62,0.65,60.84,65.39,3.16,2.23,2.4,2.42,2.9,2.48,1.68,1.78,1.89,2.25,0.99,1.1,1.3,5.41,5.27,0,25.54,18.96,13.32,25.99,0,17,13.72,10.5,16.13,0,74.46,81.04,86.68,74.01,0,83,86.28,89.5,83.87,"76,399.19","71,782.46","74,673.98","52,829.90","46,829.39",4.5,4.98,5.59,4.46,4.41,15.9,23.34,18.96,14.62,18.45,4.54,4.97,5.63,4.37,4.33,0,74.45,81.03,86.67,74,3.76,3.91,4.42,3.41,3.63,4.54,4.97,5.63,4.37,4.33,0.03,0.02,0.03,0.06,0.03
ICICI Lombard General Insurance Company Ltd.,35.21,25.91,32.41,26.27,23.11,35.16,25.82,32.27,26.19,23.06,35.21,25.89,32.4,26.27,23.1,211.6,192.89,178.53,125.54,124.56,211.6,192.89,178.53,125.54,124.56,10,9,8,3.5,6,363.97,290.63,236.3,222.51,201.5,43.01,35.04,43.86,38.22,36.06,43.01,35.04,43.86,38.22,36.06,43.01,34.3,42.98,37.34,35.18,35.21,25.89,32.4,26.27,23.1,11.81,12.05,18.56,17.17,17.89,11.81,12.05,18.56,17.17,17.89,11.81,11.8,18.18,16.78,17.46,9.67,8.9,13.71,11.8,11.46,16.63,13.42,18.15,20.92,18.54,4.58,17.68,23.18,28.05,26.66,3.13,2.49,3.74,3.22,3.14,0,0.03,0.06,0.09,0.09,0.34,0.32,0.28,0.29,0.29,1.23,0.27,0.24,0.32,0.38,1.23,0.27,0.24,0.32,0.38,0,0,0,0,0,0,29.74,12.34,26.64,21.63,0,29.74,12.34,26.64,21.63,0,70.26,87.66,73.36,78.37,0,70.26,87.66,73.36,78.37,"52,355.77","65,177.28","65,528.03","49,384.75","47,006.75",2.93,4.57,6.1,4.88,5.13,24.78,37.9,32.86,28.43,28.69,2.94,4.57,6.08,4.84,5.13,0,70.25,87.65,73.35,78.36,5.05,6.89,8.04,8.58,8.29,2.94,4.57,6.08,4.84,5.13,0.03,0.02,0.02,0.02,0.02
Engineers India Ltd.,6.09,6.13,4.16,6.81,5.86,6.09,6.13,4.16,6.81,5.86,6.54,6.54,5.03,7.19,6.21,37.46,34.25,30.26,37.12,36.02,37.46,34.25,30.26,37.12,36.02,3,3,2,5.15,4,58.43,51.07,55.24,50.69,38.68,8.3,8.4,9.48,11.09,9.35,7.85,7.98,9.06,10.72,9,7.83,7.97,6.24,10.69,8.98,6.09,6.13,4.62,6.81,5.86,14.21,16.43,17.15,21.88,24.18,13.44,15.63,16.4,21.14,23.26,13.4,15.6,11.29,21.08,23.21,10.41,11.99,8.35,13.43,15.13,16.24,17.89,15.25,18.34,16.26,20.76,23.23,29.78,28.69,24.89,7.58,7.97,5.92,8.55,7.89,0,0,0,0,0,0.74,0.66,70.91,63.69,52.17,1.01,0.98,0.94,1.49,1.56,1.01,0.98,0.94,1.48,1.56,0,0,"1,669.73",483.92,354.43,0,42.42,68.06,76.71,97.41,0,39.75,62.43,72.68,91.86,0,57.58,31.94,23.29,2.59,0,60.25,37.57,27.32,8.14,"3,153.85","2,276.94","3,072.00","1,072.12","4,732.31",0.96,0.79,0.99,0.33,1.94,6.76,4.83,5.77,1.53,8.01,1.27,1.25,1.39,1.18,3.02,0,57.57,31.93,23.28,2.58,1.99,1.87,2.55,1.62,3.25,1.27,1.25,1.39,1.18,3.02,0.08,0.1,0.06,0.11,0.05
Coal India Ltd.,24.02,18.18,12.4,18.31,16.87,24.02,18.18,12.4,18.31,16.87,24.09,18.21,12.44,18.39,17.03,27.11,26.54,27.18,27.28,22.71,27.11,26.54,27.18,27.28,22.71,24.25,17,16,12,13.1,3.17,1.84,1.04,1.37,1.52,24.56,18.46,12.49,18.43,17.21,24.49,18.43,12.45,18.34,17.17,24.49,18.43,12.45,18.33,17.14,24.02,18.18,12.4,18.31,16.99,776.12,"1,005.29","1,201.91","1,343.99","1,135.25",773.92,"1,003.45","1,198.83","1,337.55","1,132.44",773.82,"1,003.32","1,198.59","1,336.93","1,130.51",758.89,989.6,"1,193.29","1,334.76","1,120.58",88.6,68.47,45.6,67.09,74.79,66.35,51.72,34.91,52.02,57.78,63.17,49.91,33.95,50.36,54.98,0,0,0,0,0,0.09,0.05,2.84,3.77,4.9,5.08,7.26,8.21,7.88,2.68,5.05,7.23,8.21,7.86,2.64,0.29,1.36,640.25,56.42,30.46,0,96.27,100.82,65.55,77.41,0,96.1,100.49,65.24,77.22,0,3.73,-0.82,34.45,22.59,0,3.9,-0.49,34.76,22.78,"1,30,491.84","1,12,148.27","80,131.73","85,206.74","1,45,679.94",66.9,99.08,125.16,100.82,155.92,8.62,9.86,10.41,7.5,13.73,67.5,99.63,125.52,102.09,156.2,0,3.72,-0.82,34.44,22.58,7.88,6.89,4.8,5.13,10.43,67.5,99.67,125.63,102.12,156.2,0.11,0.1,0.1,0.13,0.07
COFORGE LIMITED Ltd.,120.12,106.19,39.32,67.93,48.55,117.75,103.75,38.59,67.53,47.99,137.68,119.59,55.46,82.03,61.02,428.04,362.25,297.87,316.02,275.71,428.04,362.25,297.87,316.02,275.71,64,52,13,31,0,692.39,544.04,398.09,356.96,323.5,170.59,135.81,63.6,93.65,73.45,152.8,122.05,47.72,79.22,60.81,134.62,113.55,46.77,77.97,59.94,119.89,105.83,39.59,67.6,48.38,24.63,24.96,15.97,26.23,22.7,22.06,22.43,11.98,22.19,18.79,19.44,20.87,11.74,21.84,18.52,17.31,19.45,9.94,18.93,14.95,28,29.21,13.29,21.39,17.54,29.98,28.25,15.28,24.11,21.27,19.38,19.88,10.66,18,15.05,0.13,0.15,0,0,0.01,1.21,1.21,107.23,95.09,100.66,1.56,1.04,2.33,3.27,3.94,1.56,1.04,2.33,3.27,3.94,0,0,0,0,0,48.28,48.95,28.63,29.56,30.5,42.04,43.32,20.44,24.36,24.18,51.72,51.05,71.37,70.44,69.5,57.96,56.68,79.56,75.64,75.82,"23,522.40","27,397.64","17,349.56","6,737.04","8,059.11",5.56,8.27,7.19,3.02,4.03,22.57,33.12,45.02,11.51,17.76,5.51,8.19,7.36,3.22,4.1,51.71,51.04,71.36,70.43,69.49,8.92,12.29,9.83,3.63,4.81,5.51,8.19,7.36,3.22,4.1,0.03,0.02,0.01,0.06,0.04
Clean Science & Technology Ltd.,28.57,21.52,18.68,13.15,,28.56,21.52,18.68,13.15,,31.94,23.87,20.3,"1,154.78",,95.9,72.39,50.84,"2,578.69",,95.9,72.39,50.84,"2,578.69",,5,3.25,2.5,35,,88.08,64.48,48.24,"3,157.38",,41.55,31.06,26.79,"1,477.12",,38.18,28.72,25.17,"1,373.92",,38.16,28.7,25.16,"1,373.01",,28.57,21.52,18.68,"1,051.59",,47.17,48.17,55.53,46.78,,43.34,44.53,52.17,43.51,,43.32,44.51,52.16,43.48,,32.43,33.37,38.71,33.3,,29.79,29.73,36.73,40.77,,38.78,38.6,47.89,51.64,,26.19,24.71,30.04,32.45,,0,0,0,0.01,,0.9,0.86,0.94,1.11,,5.11,3.89,3.87,3.33,,4.15,3.24,3.35,2.88,,3.44,3.48,3.15,3.57,,0,0,1.67,2.53,,0,0,1.53,2.3,,0,0,98.33,97.47,,0,0,98.47,97.7,,"13,420.08","21,141.02",0,0,,14.34,30.87,0,0,,30.4,64.07,0,0,,14.35,30.91,0,0,,0,0,98.32,97.46,,13.18,27.53,0,0,,14.35,30.91,0,0,,0.02,0.01,0,0,
Colgate Palmolive (India) Ltd.,38.5,39.65,38.07,30.02,28.52,38.5,39.65,38.07,30.02,28.52,44.92,46.16,44.78,37.3,34.37,63.1,63.78,42.86,58.61,53.19,63.1,63.78,42.86,58.61,53.19,39,40,38,28,23,192.14,187.5,178,166.37,164.07,58.85,58.54,56.62,45.99,46.83,52.42,52.02,49.91,38.71,40.98,51.83,51.8,49.64,38.36,42.01,38.5,39.65,38.07,30.02,28.52,30.62,31.22,31.8,27.64,28.54,27.28,27.74,28.04,23.26,24.97,26.97,27.62,27.89,23.05,25.6,20.03,21.14,21.38,18.04,17.37,61,62.16,88.8,51.21,53.6,79.28,77.76,106.38,60.73,70.74,36.32,37.15,35.77,31.35,29.52,0,0,0,0,0.05,1.81,1.76,167.28,173.77,169.9,1.43,1.37,0.85,1.16,0.96,1.12,1.04,0.64,0.82,0.72,4.31,3.95,14.42,15.24,17.95,0,47.92,141.85,66.62,91.17,0,41.15,120.59,53.62,75.65,0,52.08,-41.85,33.38,8.83,0,58.85,-20.59,46.38,24.35,"40,066.04","41,171.93","41,551.30","33,657.22","33,906.44",7.67,8.07,8.58,7.44,7.6,25.03,25.86,26.98,26.91,26.62,7.84,8.22,8.76,7.53,7.67,0,52.07,-41.85,33.37,8.82,23.88,24.17,36.38,21.38,23.66,7.84,8.22,8.76,7.53,7.67,0.03,0.03,0.02,0.02,0.02
Dixon Technologies Ltd.,35.53,25.63,26.14,96.88,49.78,35.27,25.63,25.56,94.26,49.06,45.13,33.98,32.51,123.07,67.47,195.87,155.39,119.91,444.39,317.93,195.87,155.39,119.91,444.39,317.93,3,2,1,4,2,"1,175.05","1,261.06",968.87,"3,173.27","2,230.24",63.66,47.39,46.19,180.89,113.42,53.98,38.84,39.62,153.42,95.73,47.9,33.76,35.2,123.08,74.27,35.46,25.44,25.95,95.6,49.78,5.41,3.75,4.76,5.7,5.08,4.59,3.08,4.08,4.83,4.29,4.07,2.67,3.63,3.87,3.33,3.01,2.01,2.67,3.01,2.23,18.1,16.36,21.63,21.51,15.65,22.7,18.4,26.76,28.45,28.29,7.72,5.53,6.28,7.78,5.1,0.07,0.27,0.18,0.14,0.37,2.56,2.91,234.58,258.32,228.91,1.18,1.29,1.22,1.24,1.17,0.85,0.85,0.86,0.78,0.76,11.3,11.22,10.22,10.09,8.51,0,3.88,0,6.23,4.01,0,2.9,0,4.84,2.96,0,96.12,0,93.77,95.99,0,97.1,0,95.16,97.04,"17,073.84","25,716.01","21,581.71","4,111.93","2,769.74",2.44,3.44,3.8,1.12,1.1,45.04,91.44,79.78,19.65,21.56,2.44,3.42,3.79,1.13,1.05,0,96.11,0,93.76,95.98,14.61,27.74,30.61,8.05,7.4,2.44,3.42,3.79,1.13,1.05,0.01,0.01,0.01,0.03,0.02
Devyani International Ltd.,2.04,1.29,,,,2.04,1.29,,,,4.02,2.81,,,,9.55,7.41,,,,9.55,7.41,,,,0,0,,,,22.14,15.38,,,,4.79,3.36,,,,2.8,1.82,,,,1.78,0.93,,,,2.04,1.27,,,,21.61,21.84,,,,12.65,11.84,,,,8.02,6.05,,,,9.22,8.27,,,,21.38,17.17,,,,14.02,11.87,,,,8.6,7.07,,,,0,0.07,,,,1.06,0.98,,,,0.61,0.95,,,,0.35,0.72,,,,8.43,8.21,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,"17,346.38","21,139.31",,,,6.5,11.41,,,,30.08,52.23,,,,6.53,11.4,,,,0,0,,,,15.14,23.65,,,,6.53,11.4,,,,0.01,0.01,,,
